group,team,position_group,player
A,Korea Republic,Defender,Cho Yu-min
A,Korea Republic,Midfielder,Kim Jin-gyu
A,Korea Republic,Midfielder,Bae Jun-ho
A,Korea Republic,Midfielder,Paik Seung-ho
A,Korea Republic,Midfielder,Yang Hyun-jun
A,Korea Republic,Midfielder,Eom Ji-sung
A,Korea Republic,Midfielder,Lee Kang-in
A,Korea Republic,Midfielder,Lee Dong-gyeong
A,Korea Republic,Midfielder,Lee Jae-sung
A,Korea Republic,Midfielder,Hwang In-beom
A,Korea Republic,Midfielder,Hwang Hee-chan
A,Korea Republic,Forward,Son Heung-min
A,Korea Republic,Forward,Oh Hyeon-gyu
A,Korea Republic,Forward,Cho Gue-sung
A,Czech Republic,Goalkeeper,Lukas Hornicek
A,Czech Republic,Goalkeeper,Matej Kovar
A,Czech Republic,Goalkeeper,Jindrich Stanek
A,Czech Republic,Defender,Vladimir Coufal
A,Czech Republic,Defender,David Doudera
A,Czech Republic,Defender,Tomas Holes
A,Czech Republic,Defender,Robin Hranac
A,Czech Republic,Defender,Stepan Chaloupek
A,Czech Republic,Defender,David Jurasek
A,Czech Republic,Defender,Ladislav Krejci
A,Czech Republic,Defender,Jaroslav Zeleny
A,Czech Republic,Defender,David Zima
A,Czech Republic,Midfielder,Lukas Cerv
A,Czech Republic,Midfielder,Vladimir Darida
A,Czech Republic,Midfielder,Lukas Provod
A,Czech Republic,Midfielder,Michal Sadilek
A,Czech Republic,Midfielder,Hugo Sochurek
A,Czech Republic,Midfielder,Alexandr Sojka
A,Czech Republic,Midfielder,Tomas Soucek
A,Czech Republic,Midfielder,Pavel Sulc
A,Czech Republic,Midfielder,Denis Visinsky
A,Czech Republic,Forward,Adam Hlozek
A,Czech Republic,Forward,Tomas Chory
A,Czech Republic,Forward,Mojmir Chytil
A,Czech Republic,Forward,Jan Kuchta
A,Czech Republic,Forward,Patrik Schick
B,Canada,Goalkeeper,Maxime Crepeau
B,Canada,Goalkeeper,Owen Goodman
B,Canada,Goalkeeper,Dayne St Clair
B,Canada,Defender,Moise Bombito
B,Canada,Defender,Derek Cornelius
B,Canada,Defender,Alphonso Davies
B,Canada,Defender,Luc de Fougerolles
B,Canada,Defender,Alistair Johnston
B,Canada,Defender,Alfie Jones
B,Canada,Defender,Richie Laryea
B,Canada,Defender,Niko Sigur
B,Canada,Defender,Joel Waterman
B,Canada,Midfielder,Ali Ahmed
B,Canada,Midfielder,Tajon Buchanan
B,Canada,Midfielder,Mathieu Choiniere
B,Canada,Midfielder,Stephen Eustaquio
B,Canada,Midfielder,Marcelo Flores
B,Canada,Midfielder,Ismael Kone
B,Canada,Midfielder,Liam Millar
B,Canada,Midfielder,Jonathan Osorio
B,Canada,Midfielder,Nathan Saliba
B,Canada,Midfielder,Jacob Shaffelburg
B,Canada,Forward,Jonathan David
B,Canada,Forward,Promise David
B,Canada,Forward,Cyle Larin
B,Canada,Forward,Tani Oluwaseyi
B,Bosnia & Herzegovina,Goalkeeper,Nikola Vasilj
B,Bosnia & Herzegovina,Goalkeeper,Martin Zlomislic
B,Bosnia & Herzegovina,Goalkeeper,Osman Hadzikic
B,Bosnia & Herzegovina,Defender,Sead Kolasinac
B,Bosnia & Herzegovina,Defender,Amar Dedic
B,Bosnia & Herzegovina,Defender,Nihad Mujakic
B,Bosnia & Herzegovina,Defender,Nikola Katic
B,Bosnia & Herzegovina,Defender,Tarik Muharemovic
B,Bosnia & Herzegovina,Defender,Stjepan Radeljic
B,Bosnia & Herzegovina,Defender,Dennis Hadzikadunic
B,Bosnia & Herzegovina,Defender,Nidal Celik
B,Bosnia & Herzegovina,Midfielder,Amir Hadziahmetovic
B,Bosnia & Herzegovina,Midfielder,Ivan Sunjic
B,Bosnia & Herzegovina,Midfielder,Ivan Basic
B,Bosnia & Herzegovina,Midfielder,Dzenis Burnic
B,Bosnia & Herzegovina,Midfielder,Ermin Mahmic
B,Bosnia & Herzegovina,Midfielder,Benjamin Tahirovic
B,Bosnia & Herzegovina,Midfielder,Amar Memic
B,Bosnia & Herzegovina,Midfielder,Armin Gigovic
B,Bosnia & Herzegovina,Midfielder,Kerim Alajbegovic
B,Bosnia & Herzegovina,Midfielder,Esmir Bajraktarevic
B,Bosnia & Herzegovina,Forward,Ermedin Demirovic
B,Bosnia & Herzegovina,Forward,Jovo Lukic
B,Bosnia & Herzegovina,Forward,Samed Bazdar
B,Bosnia & Herzegovina,Forward,Haris Tabakovic
B,Bosnia & Herzegovina,Forward,Edin Dzeko
B,Qatar,Goalkeeper,Salah Zakaria
B,Qatar,Goalkeeper,Mahmoud Abunada
B,Qatar,Goalkeeper,Meshaal Barsham
B,Qatar,Defender,Hashmi Hussein
B,Qatar,Defender,Ayoub Alawi
B,Qatar,Defender,Boualem Khoukhi
B,Qatar,Defender,Pedro Miguel
B,Qatar,Defender,Issa Laaye
B,Qatar,Defender,Lucas Mendes
B,Qatar,Defender,Sultan Al-Brake
B,Qatar,Defender,Homam Al-Amin
B,Qatar,Midfielder,Mohammed Al-Manai
B,Qatar,Midfielder,Jassem Jaber
B,Qatar,Midfielder,Karim Boudiaf
B,Qatar,Midfielder,Ahmed Fathi
B,Qatar,Midfielder,Abdulaziz Hatem
B,Qatar,Midfielder,Assim Madibo
B,Qatar,Forward,Tahseen Mohammed
B,Qatar,Forward,Edmilson Junior
B,Qatar,Forward,Almoez Ali
B,Qatar,Forward,Akram Afif
B,Qatar,Forward,Mohammed Muntari
B,Qatar,Forward,Youssef Abdulrazzaq
B,Qatar,Forward,Ahmed Alaa
B,Qatar,Forward,Hassan Al-Haydos
B,Qatar,Forward,Ahmed Al-Janahi
B,Switzerland,Goalkeeper,Marvin Keller
B,Switzerland,Goalkeeper,Gregor Kobel
B,Switzerland,Goalkeeper,Yvon Mvogo
B,Switzerland,Defender,Manuel Akanji
B,Switzerland,Defender,Aurele Amenda
B,Switzerland,Defender,Eray Comert
B,Switzerland,Defender,Nico Elvedi
B,Switzerland,Defender,Luca Jaquez
B,Switzerland,Defender,Miro Muheim
B,Switzerland,Defender,Ricardo Rodriguez
B,Switzerland,Defender,Silvan Widmer
B,Switzerland,Midfielder,Michel Aebischer
B,Switzerland,Midfielder,Christian Fassnacht
B,Switzerland,Midfielder,Remo Freuler
B,Switzerland,Midfielder,Ardon Jashari
B,Switzerland,Midfielder,Johan Manzambi
B,Switzerland,Midfielder,Fabian Rieder
B,Switzerland,Midfielder,Djibril Sow
B,Switzerland,Midfielder,Ruben Vargas
B,Switzerland,Midfielder,Granit Xhaka
B,Switzerland,Midfielder,Denis Zakaria
B,Switzerland,Forward,Zeki Amdouni
B,Switzerland,Forward,Breel Embolo
B,Switzerland,Forward,Cedric Itten
B,Switzerland,Forward,Dan Ndoye
B,Switzerland,Forward,Noah Okafor
C,Brazil,Goalkeeper,Alisson
C,Brazil,Goalkeeper,Ederson
C,Brazil,Goalkeeper,Weverton
C,Brazil,Defender,Alex Sandro
C,Brazil,Defender,Bremer
C,Brazil,Defender,Danilo
C,Brazil,Defender,Douglas Santos
C,Brazil,Defender,Gabriel Magalhaes
C,Brazil,Defender,Ibanez
C,Brazil,Defender,Leo Pereira
C,Brazil,Defender,Marquinhos
C,Brazil,Defender,Wesley
C,Brazil,Midfielder,Bruno Guimaraes
C,Brazil,Midfielder,Casemiro
C,Brazil,Midfielder,Danilo Santos
C,Brazil,Midfielder,Fabinho
C,Brazil,Midfielder,Lucas Paqueta
C,Brazil,Forward,Endrick
C,Brazil,Forward,Gabriel Martinelli
C,Brazil,Forward,Igor Thiago
C,Brazil,Forward,Luiz Henrique
C,Brazil,Forward,Matheus Cunha
C,Brazil,Forward,Neymar
C,Brazil,Forward,Raphinha
C,Brazil,Forward,Rayan
C,Brazil,Forward,Vinicius Jr
C,Morocco,Goalkeeper,Yassine Bounou
C,Morocco,Goalkeeper,Munir Mohamedi
C,Morocco,Goalkeeper,Ahmed Tagnaouti
C,Morocco,Defender,Noussair Mazraoui
C,Morocco,Defender,Anass Salah-Eddine
C,Morocco,Defender,Youssef Belammari
C,Morocco,Defender,Nayef Aguerd
C,Morocco,Defender,Chadi Riad
C,Morocco,Defender,Issa Diop
C,Morocco,Defender,Redouane Halhal
C,Morocco,Defender,Achraf Hakimi
C,Morocco,Defender,Zakaria El Ouahdi
C,Morocco,Midfielder,Samir El Mourabet
C,Morocco,Midfielder,Ayyoub Bouaddi
C,Morocco,Midfielder,Neil El Aynaoui
C,Morocco,Midfielder,Sofyan Amrabat
C,Morocco,Midfielder,Azzedine Ounahi
C,Morocco,Midfielder,Bilal El Khannouss
C,Morocco,Midfielder,Ismael Saibari
C,Morocco,Forward,Abdessamad Ezzalzouli
C,Morocco,Forward,Chemsdine Talbi
C,Morocco,Forward,Soufiane Rahimi
C,Morocco,Forward,Ayoub El Kaabi
C,Morocco,Forward,Brahim Diaz
C,Morocco,Forward,Yassine Gessime
C,Morocco,Forward,Ayoub Amaimouni-Echghouyabe
C,Haiti,Goalkeeper,Johny Placide
C,Haiti,Goalkeeper,Alexandre Pierre
C,Haiti,Goalkeeper,Josue Duverger
C,Haiti,Defender,Carlens Arcus
C,Haiti,Defender,Wilguens Paugain
C,Haiti,Defender,Duke Lacroix
C,Haiti,Defender,Martin Experience
C,Haiti,Defender,JK Duverne
C,Haiti,Defender,Ricardo Ade
C,Haiti,Defender,Hannes Delcroix
C,Haiti,Defender,Keeto Thermoncy
C,Haiti,Midfielder,Leverton Pierre
C,Haiti,Midfielder,Carl-Fred Sainte
C,Haiti,Midfielder,Danley Jean-Jacques
C,Haiti,Midfielder,Jean-Ricner Bellegarde
C,Haiti,Midfielder,Woodensky Pierre
C,Haiti,Midfielder,Simon Dominique
C,Haiti,Forward,Louicius Deedson
C,Haiti,Forward,Ruben Providence
C,Haiti,Forward,Josue Casimir
C,Haiti,Forward,Derrick Etienne
C,Haiti,Forward,Wilson Isidor
C,Haiti,Forward,Duckens Nazon
C,Haiti,Forward,Frantzdy Pierrot
C,Haiti,Forward,Yassin Fortune
C,Haiti,Forward,Lenny Joseph
C,Scotland,Goalkeeper,Craig Gordon
C,Scotland,Goalkeeper,Angus Gunn
C,Scotland,Goalkeeper,Liam Kelly
C,Scotland,Defender,Grant Hanley
C,Scotland,Defender,Jack Hendry
C,Scotland,Defender,Aaron Hickey
C,Scotland,Defender,Dom Hyam
C,Scotland,Defender,Scott McKenna
C,Scotland,Defender,Nathan Patterson
C,Scotland,Defender,Anthony Ralston
C,Scotland,Defender,Andy Robertson
C,Scotland,Defender,John Souttar
C,Scotland,Defender,Kieran Tierney
C,Scotland,Midfielder,Ryan Christie
C,Scotland,Midfielder,Finlay Curtis
C,Scotland,Midfielder,Lewis Ferguson
C,Scotland,Midfielder,Ben Gannon-Doak
C,Scotland,Midfielder,Tyler Fletcher
C,Scotland,Midfielder,John McGinn
C,Scotland,Midfielder,Kenny McLean
C,Scotland,Midfielder,Scott McTominay
C,Scotland,Forward,Che Adams
C,Scotland,Forward,Lyndon Dykes
C,Scotland,Forward,George Hirst
C,Scotland,Forward,Lawrence Shankland
C,Scotland,Forward,Ross Stewart
D,United States,Goalkeeper,Chris Brady
D,United States,Goalkeeper,Matt Freese
D,United States,Goalkeeper,Matt Turner
D,United States,Defender,Max Arfsten
D,United States,Defender,Sergiño Dest
D,United States,Defender,Alex Freeman
D,United States,Defender,Mark McKenzie
D,United States,Defender,Tim Ream
D,United States,Defender,Chris Richards
D,United States,Defender,Antonee Robinson
D,United States,Defender,Miles Robinson
D,United States,Defender,Joe Scally
D,United States,Defender,Auston Trusty
D,United States,Midfielder,Tyler Adams
D,United States,Midfielder,Sebastian Berhalter
D,United States,Midfielder,Weston McKennie
D,United States,Midfielder,Gio Reyna
D,United States,Midfielder,Cristian Roldan
D,United States,Midfielder,Malik Tillman
D,United States,Forward,Brenden Aaronson
D,United States,Forward,Folarin Balogun
D,United States,Forward,Ricardo Pepi
D,United States,Forward,Christian Pulisic
D,United States,Forward,Tim Weah
D,United States,Forward,Haji Wright
D,United States,Forward,Alejandro Zendejas
D,Paraguay,Goalkeeper,Orlando Gill
D,Paraguay,Goalkeeper,Roberto Junior Fernandez
D,Paraguay,Goalkeeper,Gaston Olveira
D,Paraguay,Defender,Juan Caceres
D,Paraguay,Defender,Gustavo Velazquez
D,Paraguay,Defender,Gustavo Gomez
D,Paraguay,Defender,Junior Alonso
D,Paraguay,Defender,Jose Canale
D,Paraguay,Defender,Omar Alderete
D,Paraguay,Defender,Alexandro Maidana
D,Paraguay,Defender,Fabian Balbuena
D,Paraguay,Midfielder,Diego Gomez
D,Paraguay,Midfielder,Mauricio Magalhaes
D,Paraguay,Midfielder,Damian Bobadilla
D,Paraguay,Midfielder,Braian Ojeda
D,Paraguay,Midfielder,Andres Cubas
D,Paraguay,Midfielder,Matias Galarza
D,Paraguay,Midfielder,Alejandro Romero Gamarra
D,Paraguay,Forward,Gustavo Caballero
D,Paraguay,Forward,Ramon Sosa
D,Paraguay,Forward,Alex Arce
D,Paraguay,Forward,Gabriel Avalos
D,Paraguay,Forward,Isidro Pitta
D,Paraguay,Forward,Miguel Almiron
D,Paraguay,Forward,Julio Enciso
D,Paraguay,Forward,Antonio Sanabria
D,Australia,Goalkeeper,Mathew Ryan
D,Australia,Goalkeeper,Paul Izzo
D,Australia,Goalkeeper,Patrick Beach
D,Australia,Defender,Aziz Behich
D,Australia,Defender,Jordan Bos
D,Australia,Defender,Cameron Burgess
D,Australia,Defender,Alessandro Circati
D,Australia,Defender,Milos Degenek
D,Australia,Defender,Jason Geria
D,Australia,Defender,Lucas Herrington
D,Australia,Defender,Jacob Italiano
D,Australia,Defender,Harry Souttar
D,Australia,Defender,Kai Trewin
D,Australia,Midfielder,Cameron Devlin
D,Australia,Midfielder,Ajdin Hrustic
D,Australia,Midfielder,Jackson Irvine
D,Australia,Midfielder,Connor Metcalfe
D,Australia,Midfielder,Aiden O’Neill
D,Australia,Midfielder,Paul Okon-Engstler
D,Australia,Forward,Nestory Irankunda
D,Australia,Forward,Mathew Leckie
D,Australia,Forward,Awer Mabil
D,Australia,Forward,Mohamed Toure
D,Australia,Forward,Nishan Velupillary
D,Australia,Forward,Cristian Volpato
D,Australia,Forward,Tete Yengi
D,Turkey,Goalkeeper,Altay Bayindir
D,Turkey,Goalkeeper,Mert Gunok
D,Turkey,Goalkeeper,Ugurcan Cakir
D,Turkey,Defender,Abdulkerim Bardakci
D,Turkey,Defender,Caglar Soyuncu
D,Turkey,Defender,Eren Elmali
D,Turkey,Defender,Ferdi Kadioglu
D,Turkey,Defender,Merih Demiral
D,Turkey,Defender,Mert Muldur
D,Turkey,Defender,Ozan Kabak
D,Turkey,Defender,Samet Akaydin
D,Turkey,Defender,Zeki Celik
D,Turkey,Midfielder,Hakan Calhanoglu
D,Turkey,Midfielder,Ismail Yuksek
D,Turkey,Midfielder,Kaan Ayhan
D,Turkey,Midfielder,Orkun Kokcu
D,Turkey,Midfielder,Salih Ozcan
D,Turkey,Forward,Arda Guler
D,Turkey,Forward,Baris Alper Yilmaz
D,Turkey,Forward,Can Uzun
D,Turkey,Forward,Deniz Gul
D,Turkey,Forward,Irfan Can Kahveci
D,Turkey,Forward,Kenan Yildiz
D,Turkey,Forward,Kerem Akturkoglu
D,Turkey,Forward,Oguz Aydin
D,Turkey,Forward,Yunus Akgun
E,Germany,Goalkeeper,Manuel Neuer
E,Germany,Goalkeeper,Oliver Baumann
E,Germany,Goalkeeper,Alexander Nubel
E,Germany,Defender,Antonio Rudiger
E,Germany,Defender,Jonathan Tah
E,Germany,Defender,David Raum
E,Germany,Defender,Nico Schlotterbeck
E,Germany,Defender,Waldemar Anton
E,Germany,Defender,Malick Thiaw
E,Germany,Defender,Nathaniel Brown
E,Germany,Defender,Felix Nmecha
E,Germany,Midfielder,Joshua Kimmich
E,Germany,Midfielder,Leroy Sane
E,Germany,Midfielder,Leon Goretzka
E,Germany,Midfielder,Jamal Musiala
E,Germany,Midfielder,Florian Wirtz
E,Germany,Midfielder,Pascal Gross
E,Germany,Midfielder,Nadiem Amiri
E,Germany,Midfielder,Aleksandar Pavlovic
E,Germany,Midfielder,Angelo Stiller
E,Germany,Midfielder,Lennart Karl
E,Germany,Forward,Kai Havertz
E,Germany,Forward,Jamie Leweling
E,Germany,Forward,Nick Woltemade
E,Germany,Forward,Deniz Undav
E,Germany,Forward,Maximilian Beier
E,Curacao,Goalkeeper,Tyrick Bodak
E,Curacao,Goalkeeper,Trevor Doornbusch
E,Curacao,Goalkeeper,Eloy Room
E,Curacao,Defender,Riechedly Bazoer
E,Curacao,Defender,Joshua Brenet
E,Curacao,Defender,Sherel Floranus
E,Curacao,Defender,Deveron Fonville
E,Curacao,Defender,Juriën Gaari
E,Curacao,Defender,Armando Obispo
E,Curacao,Defender,Shurandy Sambo
E,Curacao,Defender,Roshon van Eijma
E,Curacao,Midfielder,Juninho Bacuna
E,Curacao,Midfielder,Leandro Bacuna
E,Curacao,Midfielder,Livano Comenencia
E,Curacao,Midfielder,Kevin Felida
E,Curacao,Midfielder,Arjany Martha
E,Curacao,Midfielder,Tyrese Noslin
E,Curacao,Midfielder,Godfried Roemeratoe
E,Curacao,Forward,Jeremy Antonisse
E,Curacao,Forward,Tahith Chong
E,Curacao,Forward,Kenji Gorre
E,Curacao,Forward,Sontje Hansen
E,Curacao,Forward,Gervane Kastaneer
E,Curacao,Forward,Brandley Kuwas
E,Curacao,Forward,Jürgen Locadia
E,Curacao,Forward,Jearl Margaritha
E,Ivory Coast,Goalkeeper,Yahia Fofana
E,Ivory Coast,Goalkeeper,Mohamed Kone
E,Ivory Coast,Goalkeeper,Alban Lafont
E,Ivory Coast,Defender,Emmanuel Agbadou
E,Ivory Coast,Defender,Clement Akpa
E,Ivory Coast,Defender,Ousmane Diomande
E,Ivory Coast,Defender,Guela Doue
E,Ivory Coast,Defender,Ghislain Konan
E,Ivory Coast,Defender,Odilon Kossonou
E,Ivory Coast,Defender,Evan Ndicka
E,Ivory Coast,Defender,Wilfried Singo
E,Ivory Coast,Midfielder,Seko Fofana
E,Ivory Coast,Midfielder,Parfait Guiagon
E,Ivory Coast,Midfielder,Franck Kessie
E,Ivory Coast,Midfielder,Christ Oulai
E,Ivory Coast,Midfielder,Ibrahim Sangare
E,Ivory Coast,Midfielder,Jean-Michael Seri
E,Ivory Coast,Forward,Simon Adingra
E,Ivory Coast,Forward,Ange-Yoan Bonny
E,Ivory Coast,Forward,Amad Diallo
E,Ivory Coast,Forward,Oumar Diakite
E,Ivory Coast,Forward,Yan Diomande
E,Ivory Coast,Forward,Evann Guessand
E,Ivory Coast,Forward,Nicolas Pepe
E,Ivory Coast,Forward,Bazoumana Toure
E,Ivory Coast,Forward,Elye Wahi
E,Ecuador,Goalkeeper,Hernan Galindez
E,Ecuador,Goalkeeper,Moises Ramirez
E,Ecuador,Goalkeeper,Gonzalo Valle
E,Ecuador,Defender,Piero Hincapie
E,Ecuador,Defender,Willian Pacho
E,Ecuador,Defender,Pervis Estupinan
E,Ecuador,Defender,Felix Torres
E,Ecuador,Defender,Joel Ordonez
E,Ecuador,Defender,Jackson Porozo
E,Ecuador,Defender,Angelo Preciado
E,Ecuador,Midfielder,Moises Caicedo
E,Ecuador,Midfielder,Alan Franco
E,Ecuador,Midfielder,Kendry Paez
E,Ecuador,Midfielder,Pedro Vite
E,Ecuador,Midfielder,Jordy Alcivar
E,Ecuador,Midfielder,Denil Castillo
E,Ecuador,Midfielder,Yaimar Medina
E,Ecuador,Forward,Enner Valencia
E,Ecuador,Forward,Gonzalo Plata
E,Ecuador,Forward,Alan Minda
E,Ecuador,Forward,John Yeboah
E,Ecuador,Forward,Kevin Rodriguez
E,Ecuador,Forward,Jordy Caicedo
E,Ecuador,Forward,Nilson Angulo
E,Ecuador,Forward,Anthony Valencia
E,Ecuador,Forward,Jeremy Arevalo
F,Netherlands,Goalkeeper,Mark Flekken
F,Netherlands,Goalkeeper,Robin Roefs
F,Netherlands,Goalkeeper,Bart Verbruggen
F,Netherlands,Defender,Nathan Ake
F,Netherlands,Defender,Denzel Dumfries
F,Netherlands,Defender,Jorrel Hato
F,Netherlands,Defender,Jurrien Timber
F,Netherlands,Defender,Micky van de Ven
F,Netherlands,Defender,Virgil van Dijk
F,Netherlands,Defender,Jan Paul van Hecke
F,Netherlands,Midfielder,Frenkie de Jong
F,Netherlands,Midfielder,Marten de Roon
F,Netherlands,Midfielder,Ryan Gravenberch
F,Netherlands,Midfielder,Justin Kluivert
F,Netherlands,Midfielder,Teun Koopmeiners
F,Netherlands,Midfielder,Tijjani Reijnders
F,Netherlands,Midfielder,Guus Til
F,Netherlands,Midfielder,Quinten Timber
F,Netherlands,Midfielder,Mats Wieffer
F,Netherlands,Forward,Brian Brobbey
F,Netherlands,Forward,Memphis Depay
F,Netherlands,Forward,Cody Gakpo
F,Netherlands,Forward,Noa Lang
F,Netherlands,Forward,Donyell Malen
F,Netherlands,Forward,Crysencio Summerville
F,Netherlands,Forward,Wout Weghorst
F,Japan,Goalkeeper,Zion Suzuki
F,Japan,Goalkeeper,Tomoki Hayakawa
F,Japan,Goalkeeper,Keisuke Osako
F,Japan,Defender,Yuto Nagatomo
F,Japan,Defender,Shogo Taniguchi
F,Japan,Defender,Ko Itakura
F,Japan,Defender,Tsuyoshi Watanabe
F,Japan,Defender,Takehiro Tomiyasu
F,Japan,Defender,Hiroki Ito
F,Japan,Defender,Ayumu Seko
F,Japan,Defender,Yukinari Sugawara
F,Japan,Defender,Junnoske Suzuki
F,Japan,Midfielder/Forward,Wataru Endo
F,Japan,Midfielder/Forward,Junya Ito
F,Japan,Midfielder/Forward,Daichi Kamada
F,Japan,Midfielder/Forward,Koki Ogawa
F,Japan,Midfielder/Forward,Daizen Maeda
F,Japan,Midfielder/Forward,Ritsu Doan
F,Japan,Midfielder/Forward,Ayase Ueda
F,Japan,Midfielder/Forward,Ao Tanaka
F,Japan,Midfielder/Forward,Keito Nakamura
F,Japan,Midfielder/Forward,Kaishu Sano
F,Japan,Midfielder/Forward,Takefusa Kubo
F,Japan,Midfielder/Forward,Yuito Suzuki
F,Japan,Midfielder/Forward,Kento Shoigai
F,Japan,Midfielder/Forward,Keisuke Goto
F,Sweden,Goalkeeper,Kristoffer Nordfeldt
F,Sweden,Goalkeeper,Viktor Johansson
F,Sweden,Goalkeeper,Jacob Widell Zetterström
F,Sweden,Defender,Daniel Svensson
F,Sweden,Defender,Victor Lindelof
F,Sweden,Defender,Isak Hien
F,Sweden,Defender,Carl Starfelt
F,Sweden,Defender,Elliot Stroud
F,Sweden,Defender,Gustaf Lagerbielke
F,Sweden,Defender,Gabriel Gudmundsson
F,Sweden,Defender,Herman Johansson
F,Sweden,Defender,Hjalmar Ekdal
F,Sweden,Defender,Erik Smith
F,Sweden,Midfielder/Forward,Taha Ali
F,Sweden,Midfielder/Forward,Yasin Ayari
F,Sweden,Midfielder/Forward,Lucas Bergvall
F,Sweden,Midfielder/Forward,Anthony Elanga
F,Sweden,Midfielder/Forward,Viktor Gyokeres
F,Sweden,Midfielder/Forward,Jesper Karlstrom
F,Sweden,Midfielder/Forward,Gustaf Nilsson
F,Sweden,Midfielder/Forward,Benjamin Nygren
F,Sweden,Midfielder/Forward,Mattias Svanberg
F,Sweden,Midfielder/Forward,Besfort Zeneli
F,Sweden,Midfielder/Forward,Alexander Isak
F,Sweden,Midfielder/Forward,Alexander Bernhardsson
F,Sweden,Midfielder/Forward,Ken Sema
F,Tunisia,Goalkeeper,Sabri Ben Hessen
F,Tunisia,Goalkeeper,Abdelmouhib Chamakh
F,Tunisia,Goalkeeper,Aymen Dahman
F,Tunisia,Defender,Ali Abdi
F,Tunisia,Defender,Adem Arous
F,Tunisia,Defender,Mohamed Amine Ben Hamida
F,Tunisia,Defender,Dylan Bronn
F,Tunisia,Defender,Raed Chikhaoui
F,Tunisia,Defender,Moutaz Neffati
F,Tunisia,Defender,Omar Rekik
F,Tunisia,Defender,Montassar Talbi
F,Tunisia,Defender,Yan Valery
F,Tunisia,Midfielder,Mortadha Ben Ouanes
F,Tunisia,Midfielder,Anis Ben Slimane
F,Tunisia,Midfielder,Ismael Gharbi
F,Tunisia,Midfielder,Rani Khedira
F,Tunisia,Midfielder,Mohamed Hadj Mahmoud
F,Tunisia,Midfielder,Hannibal Mejbri
F,Tunisia,Midfielder,Ellyes Skhiri
F,Tunisia,Forward,Elias Achouri
F,Tunisia,Forward,Khalil Ayari
F,Tunisia,Forward,Firas Chaouat
F,Tunisia,Forward,Rayan Elloumi
F,Tunisia,Forward,Hazem Mastouri
F,Tunisia,Forward,Elias Saad
F,Tunisia,Forward,Sebastian Tounekti
G,Belgium,Goalkeeper,Thibaut Courtois
G,Belgium,Goalkeeper,Senne Lammens
G,Belgium,Goalkeeper,Mike Penders
G,Belgium,Defender,Timothy Castagne
G,Belgium,Defender,Zeno Debast
G,Belgium,Defender,Maxim De Cuyper
G,Belgium,Defender,Koni De Winter
